county Name,01,02,03,04,05
Denver,57.29032258064516,56.82142857142857,48.32258064516129,23.294117647058822,
Dewey,36.25806451612903,37.17857142857143,45.935483870967744,,
District of Columbia,43.903225806451616,44.464285714285715,38.96774193548387,37.8,
Dodge,38.58064516129032,9.0,,,
Dona Ana,41.354838709677416,39.214285714285715,37.16129032258065,58.2,
Dorchester,35.935483870967744,32.357142857142854,39.064516129032256,,
Dougherty,37.74193548387097,29.428571428571427,,,
Douglas,42.54838709677419,52.67857142857143,45.557377049180324,12.6,
DuPage,42.45161290322581,43.17857142857143,41.56666666666667,,
Dubois,38.3,40.7,33.3,,
Duchesne,37.096774193548384,39.07142857142857,43.70967741935484,49.53333333333333,
Dukes,35.45161290322581,37.857142857142854,42.67857142857143,,
Dunn,29.533333333333335,31.555555555555557,40.43333333333333,,
Durham,39.41935483870968,32.17857142857143,31.032258064516128,,
Dutchess,28.032258064516128,28.142857142857142,35.12903225806452,,
East Baton Rouge,41.225806451612904,35.214285714285715,49.87096774193548,50.03333333333333,
Eau Claire,43.645161290322584,,,,
Edgecombe,19.225806451612904,21.785714285714285,18.925925925925927,,
Edgefield,34.13333333333333,33.25,47.70967741935484,46.56666666666667,
Edmonson,29.4,28.928571428571427,39.516129032258064,,
Effingham,,,38.16129032258065,,
El Paso,37.70967741935484,43.75,46.806451612903224,,
Elk,32.61290322580645,35.142857142857146,,,
